Sr No	Date	Question no	Response	Result	Correct response if wrong	Mistake type	Comments	Section	Type	Book	Time taken
45	28/10/13	45	D	Incorrect	A	Silly mistake	Did not read the answers correctly	Critical Reasoning	Strengthen	Offical Guide 13th Edition	
46	28/10/13	46	C	Correct				Critical Reasoning	Assumption	Offical Guide 13th Edition	
47	28/10/13	47	C	Correct				Critical Reasoning	Evaluate	Offical Guide 13th Edition	
48	28/10/13	48	C	Correct				Critical Reasoning	Assumption	Offical Guide 13th Edition	
49	28/10/13	49	C	Correct				Critical Reasoning	Explain Discrepency	Offical Guide 13th Edition	
50	28/10/13	50	B	Correct				Critical Reasoning	Strengthen	Offical Guide 13th Edition	
51	29/10/13	51	E	Incorrect	D	Silly mistake	Did not read the answers correctly	Critical Reasoning	Weaken	Offical Guide 13th Edition	2.0000000065
52	29/10/13	52	B	Correct				Critical Reasoning	Strengthen	Offical Guide 13th Edition	4.4833333336
53	29/10/13	53	E	Incorrect	A			Critical Reasoning	Evaluate	Offical Guide 13th Edition	2.8833333263
54	29/10/13	54	C	Correct				Critical Reasoning	Inference	Offical Guide 13th Edition	3.5666666727
55	29/10/13	55	D	Correct				Critical Reasoning	Inference	Offical Guide 13th Edition	1.6166666674
56	29/10/13	56	E	Correct				Critical Reasoning	Strengthen	Offical Guide 13th Edition	1.8000000017
57	29/10/13	57	E	Correct				Critical Reasoning	Explain Discrepency	Offical Guide 13th Edition	3.2833333255
58	29/10/13	58	D	Correct				Critical Reasoning	Weaken	Offical Guide 13th Edition	2.3166666739
59	29/10/13	59	D	Incorrect	E			Critical Reasoning	Complete Argument	Offical Guide 13th Edition	2.0499999973
60	29/10/13	60	B	Incorrect	A			Critical Reasoning	Inference	Offical Guide 13th Edition	5.61666667
61	17/11/13	61	D	Correct				Critical Reasoning	Explain Discrepency	Offical Guide 13th Edition	00:34.31
62	17/11/13	62	B	Incorrect	A	Tough		Critical Reasoning	Weaken	Offical Guide 13th Edition	01:10.63
63	17/11/13	63	C	Correct				Critical Reasoning	Describe Role	Offical Guide 13th Edition	01:56.00
64	17/11/13	64	B	Correct				Critical Reasoning	Strengthen	Offical Guide 13th Edition	00:31.06
65	17/11/13	65	A	Correct				Critical Reasoning	Complete Argument	Offical Guide 13th Edition	01:21.19
66	17/11/13	66	A	Correct				Critical Reasoning	Inference	Offical Guide 13th Edition	00:14.36
67	17/11/13	67	E	Correct				Critical Reasoning	Strengthen	Offical Guide 13th Edition	00:16.84
68	17/11/13	68	D	Correct				Critical Reasoning	Evaluate	Offical Guide 13th Edition	00:24.71
69	17/11/13	69	A	Correct				Critical Reasoning	Complete Argument	Offical Guide 13th Edition	00:14.82
70	17/11/13	70	C	Correct				Critical Reasoning	Evaluate	Offical Guide 13th Edition	00:35.00
71	17/11/13	71	D	Correct				Critical Reasoning	Weaken	Offical Guide 13th Edition	00:09.23
72	17/11/13	72	A	Incorrect	D	Silly mistake – Answer		Critical Reasoning	Evaluate	Offical Guide 13th Edition	01:17.02
73	17/11/13	73	D	Correct				Critical Reasoning	Weaken	Offical Guide 13th Edition	01:30.39
74	17/11/13	74	C	Correct				Critical Reasoning	Complete Argument	Offical Guide 13th Edition	01:23.57
75	17/11/13	75	D	Correct				Critical Reasoning	Assumption	Offical Guide 13th Edition	01:17.93
76	17/11/13	76	D	Correct				Critical Reasoning	Describe Role	Offical Guide 13th Edition	01:46.71
77	17/11/13	77	A	Incorrect	B	Tough		Critical Reasoning	Assumption	Offical Guide 13th Edition	02:36.08
78	17/11/13	78	D	Correct				Critical Reasoning	Describe Role	Offical Guide 13th Edition	02:27.95
79	17/11/13	79	B	Correct				Critical Reasoning	Weaken	Offical Guide 13th Edition	01:21.13
80	17/11/13	80	E	Incorrect	D	Tough		Critical Reasoning	Weaken	Offical Guide 13th Edition	02:30.00
81	19/11/13		A								
82	19/11/13		B								
83	19/11/13		D								
84	19/11/13		C								
85	19/11/13		B								
86	19/11/13		A								
87	19/11/13		E								
88	19/11/13		C								
89	19/11/13		A								
90	19/11/13		D								
91	19/11/13										
92	19/11/13										
93	19/11/13										
94	19/11/13										
95	19/11/13										
96	19/11/13										
97	19/11/13										
98	19/11/13										
99	19/11/13										
100	19/11/13										
101											
102											
103											
104											
105											
106											
107											
108											
109											
110											
111											
112											
113											
114											
115											
116											
117											
118											
119											
120											
121											
122											
123											
124											
125											
126											
127											
128											
129											
